csid	covv_accession_id
3031323047	EPI_ISL_751748
3031323278	EPI_ISL_903616
3002348206	
3002131634	EPI_ISL_1446851
3002347687	EPI_ISL_1095008
3002350777	EPI_ISL_1446630
3031401812	EPI_ISL_1095091
3002229175	EPI_ISL_1169547
3002351558	EPI_ISL_1226364
3002650228	EPI_ISL_1528413
3002351245	EPI_ISL_1095358
3002348559	
3002349189	
3002350254	EPI_ISL_1446508
3002651402	EPI_ISL_1711943
3031323885	EPI_ISL_1446893
3002347583	EPI_ISL_1094336
3002351606	
3002131513	EPI_ISL_1695900
3002650595	EPI_ISL_1528333
3002347867	EPI_ISL_1095176
3002649539	EPI_ISL_1516263
3002647624	EPI_ISL_1798433
3002351326	EPI_ISL_1095220
3002650294	
3002350670	EPI_ISL_1695831
3002350346	EPI_ISL_1446980
3002348503	
3002350007	
3031322528	EPI_ISL_747056
3031401867	
3002648020	EPI_ISL_1798791
3002350205	EPI_ISL_1446473
3002651045	EPI_ISL_1678027
3002647934	EPI_ISL_1798836
3002349040	EPI_ISL_1272723
3002349112	EPI_ISL_1272890
3002648038	EPI_ISL_1798652
3002347544	EPI_ISL_1094946
3002350016	EPI_ISL_1318631
3002350477	EPI_ISL_1446998
3002349586	EPI_ISL_1272908
3031401825	EPI_ISL_1095285
3002650432	
3002651422	EPI_ISL_1711820
3002648547	EPI_ISL_1823915
3002349446	EPI_ISL_1273029
3002648410	EPI_ISL_1823588
3002348117	
3031323263	EPI_ISL_903896
3002348012	EPI_ISL_1094779
3002650043	EPI_ISL_1528403
3002349066	EPI_ISL_1272792
3002350658	EPI_ISL_1695834
3002648391	EPI_ISL_1823802
3031322755	EPI_ISL_751723
3031401931	EPI_ISL_1094816
3031401942	EPI_ISL_1094815
3002649904	
3031323198	EPI_ISL_1711709
3002648018	EPI_ISL_1798774
3002349991	EPI_ISL_1318546
3002347746	EPI_ISL_1095192
3002348971	EPI_ISL_1226261
3002349839	EPI_ISL_1318662
3002647694	EPI_ISL_1798390
3031322864	EPI_ISL_751711
3031323926	EPI_ISL_1225903
3002350229	EPI_ISL_1446556
3031401704	EPI_ISL_1094271
3031323760	EPI_ISL_1711763
3002649787	
3002349102	
3002347351	EPI_ISL_1094938
3002651183	EPI_ISL_1678108
3002351274	EPI_ISL_1094294
3002351626	EPI_ISL_1447012
3002350255	EPI_ISL_1446494
3002348834	EPI_ISL_1226181
3002650644	
3002651043	EPI_ISL_1678239
3002648526	EPI_ISL_1823800
3002347486	EPI_ISL_1094563
3002651062	EPI_ISL_1678280
3002648310	EPI_ISL_1823739
3002650603	EPI_ISL_1528341
3002650620	EPI_ISL_1528358
3002647563	EPI_ISL_1823676
3002349440	EPI_ISL_1273014
3002349890	
3002650115	EPI_ISL_1695979
3002348730	EPI_ISL_1226100
3002349056	EPI_ISL_1272787
3002352000	EPI_ISL_1272714
3002650067	EPI_ISL_1678121
3031323640	EPI_ISL_1095119
3002650824	EPI_ISL_1678229
3002651271	EPI_ISL_1711961
3002647717	EPI_ISL_1798496
3002348027	EPI_ISL_1094778
3031323242	EPI_ISL_903969
3002228828	EPI_ISL_1094637
3002352007	
3002349913	EPI_ISL_1318585
3002131672	EPI_ISL_1446818
3031322518	EPI_ISL_747046
3002349360	EPI_ISL_1272874
3002648010	EPI_ISL_1798772
3002650621	EPI_ISL_1528360
3031323227	EPI_ISL_1711758
3031323815	EPI_ISL_1711712
3031322506	EPI_ISL_747036
3002348668	EPI_ISL_1226054
3031322929	EPI_ISL_751616
3002229224	EPI_ISL_1094971
3002351549	EPI_ISL_1226355
3002650306	EPI_ISL_1528467
3002650924	EPI_ISL_1823772
3002347705	EPI_ISL_1169501
3002350288	EPI_ISL_1318327
3002351887	EPI_ISL_1272728
3002650031	EPI_ISL_1528278
3002648269	EPI_ISL_1823892
3002347670	
3002351950	EPI_ISL_1272948
3002650246	
3002347436	EPI_ISL_1094918
3002647880	EPI_ISL_1823638
3002348609	
3031323374	EPI_ISL_1711799
3031323947	EPI_ISL_1446901
3002348683	EPI_ISL_1226069
3002229213	EPI_ISL_1094263
3002649513	EPI_ISL_1516280
3002650028	EPI_ISL_1528282
3002648270	EPI_ISL_1823881
3031323113	EPI_ISL_903975
3002348904	EPI_ISL_1226224
3031322897	
3002348467	
3002350843	EPI_ISL_1695890
3002650212	EPI_ISL_1528499
3031324367	EPI_ISL_1094340
3002351546	EPI_ISL_1226353
3002349614	EPI_ISL_1272661
3031323186	EPI_ISL_903602
3002349746	EPI_ISL_1318680
3002649523	EPI_ISL_1516286
3002647613	EPI_ISL_1798327
3002651243	EPI_ISL_1711683
3002351329	EPI_ISL_1094287
3002349506	EPI_ISL_1272767
3002649699	EPI_ISL_1516170
3002650651	
3002648065	EPI_ISL_1798676
3002347650	EPI_ISL_1094771
3002351226	EPI_ISL_1095351
3002348561	
3002351616	EPI_ISL_1318601
3002651406	EPI_ISL_1711942
3031323132	EPI_ISL_903814
3031324165	EPI_ISL_1094740
3002349552	
3002348158	
3002349783	EPI_ISL_1318668
3031322994	EPI_ISL_751671
3002647964	EPI_ISL_1798724
3002351308	EPI_ISL_1094605
3002350100	EPI_ISL_1446284
3002648550	EPI_ISL_1823707
3002349547	
3031323432	
3002651239	EPI_ISL_1711682
3002650672	EPI_ISL_1528270
3002351649	EPI_ISL_1318309
3002350284	EPI_ISL_1446433
3002348492	
3002351570	EPI_ISL_1226375
3002351562	EPI_ISL_1226368
3002350155	EPI_ISL_1446304
3002349349	EPI_ISL_1272996
3002350213	EPI_ISL_1446450
3002348563	
3002131553	EPI_ISL_1446756
3002347582	EPI_ISL_1094736
3002348226	
3002347965	EPI_ISL_1094542
3002649700	
3002348085	EPI_ISL_1094387
3031324243	EPI_ISL_1095160
3002647541	EPI_ISL_1823970
3031324361	EPI_ISL_1094807
3002351581	EPI_ISL_1226383
3002649933	EPI_ISL_1516385
3002647982	EPI_ISL_1798732
3002347587	EPI_ISL_1094847
3031323751	EPI_ISL_1516344
3002347671	
3002650325	
3002647723	EPI_ISL_1798559
3002650502	EPI_ISL_1528447
3002651390	EPI_ISL_1711817
3002347955	
3031322973	EPI_ISL_751589
3031324083	EPI_ISL_1516267
3002650946	EPI_ISL_1824010
3002348133	EPI_ISL_1094720
3002349328	EPI_ISL_1272985
3031323146	EPI_ISL_903719
3031401745	EPI_ISL_1095155
3002348476	
3002348671	EPI_ISL_1226057
3002349400	
3002350840	EPI_ISL_1446677
3002349546	
3002350731	
3002348159	
3002351551	EPI_ISL_1226357
3002650342	
3002347872	EPI_ISL_1094451
3002349754	EPI_ISL_1318672
3002648341	EPI_ISL_1823606
3031322993	EPI_ISL_751695
3031324042	EPI_ISL_1225916
3002349078	EPI_ISL_1272696
3002647583	EPI_ISL_1823684
3002350439	EPI_ISL_1318489
3002348185	
3002348192	
3002350443	EPI_ISL_1318415
3031322580	EPI_ISL_747106
3002649768	EPI_ISL_1516433
3031323002	EPI_ISL_751696
3002650000	
3002651284	EPI_ISL_1711870
3002648052	EPI_ISL_1798754
3002350567	
3002131684	
3002651267	EPI_ISL_1711952
3031324309	EPI_ISL_1094703
3002651094	EPI_ISL_1678330
3002347330	EPI_ISL_1094202
3031323028	EPI_ISL_751570
3002349842	EPI_ISL_1318667
3002131647	EPI_ISL_1446812
3031324302	EPI_ISL_1094690
3031323274	EPI_ISL_903754
3002651381	EPI_ISL_1711839
3002348078	EPI_ISL_1094343
3031322785	EPI_ISL_751627
3002131650	
3002648413	EPI_ISL_1823584
3002648416	EPI_ISL_1823617
3002649872	
3002131629	EPI_ISL_1446848
3031322562	EPI_ISL_747090
3002350012	
3002650461	
3031323753	EPI_ISL_1516258
3002347951	
3002229068	
3002349097	EPI_ISL_1272617
3002351471	EPI_ISL_1226298
3002347573	EPI_ISL_1094203
3002351208	EPI_ISL_1095336
3002349177	
3002350228	EPI_ISL_1446550
3031323935	EPI_ISL_1446913
3002649663	
3002650536	EPI_ISL_1528511
3002347435	EPI_ISL_1095304
3031323373	EPI_ISL_1711800
3002349736	EPI_ISL_1318678
3002351332	EPI_ISL_1094355
3002649919	
